drummer,session,id,style,simplified_style,bpm,beat_type,time_signature,midi_filename,audio_filename,duration,split,start,end,times_sampled,possible_samples,oversampling_ratio
drummer1,drummer1/eval_session,drummer1/eval_session/1,funk/groove1,funk,138,1,4-4,drummer1/eval_session/1_funk-groove1_138_beat_4-4.mid,drummer1/eval_session/1_funk-groove1_138_beat_4-4.wav,27.872308,test,11.692,14.692,2,2.6453846666666667,0.21526742600576887
drummer1,drummer1/eval_session,drummer1/eval_session/10,soul/groove10,funk,102,1,4-4,drummer1/eval_session/10_soul-groove10_102_beat_4-4.mid,drummer1/eval_session/10_soul-groove10_102_beat_4-4.wav,37.691158,test,25.264,28.264,2,4.281859666666667,0.15918852904439815
drummer1,drummer1/eval_session,drummer1/eval_session/2,funk/groove2,funk,105,1,4-4,drummer1/eval_session/2_funk-groove2_105_beat_4-4.mid,drummer1/eval_session/2_funk-groove2_105_beat_4-4.wav,36.351218,test,10.13,13.13,3,3.0585363333333335,0.24758455136221294
drummer1,drummer1/eval_session,drummer1/eval_session/3,soul/groove3,funk,86,1,4-4,drummer1/eval_session/3_soul-groove3_86_beat_4-4.mid,drummer1/eval_session/3_soul-groove3_86_beat_4-4.wav,44.716543,test,37.015,40.015,3,4.452757166666667,0.2012677947845834
drummer1,drummer1/eval_session,drummer1/eval_session/4,soul/groove4,funk,80,1,4-4,drummer1/eval_session/4_soul-groove4_80_beat_4-4.mid,drummer1/eval_session/4_soul-groove4_80_beat_4-4.wav,47.9875,test,18.449,21.449,2,5.997916666666666,0.12503256056264653
drummer1,drummer1/eval_session,drummer1/eval_session/5,funk/groove5,funk,84,1,4-4,drummer1/eval_session/5_funk-groove5_84_beat_4-4.mid,drummer1/eval_session/5_funk-groove5_84_beat_4-4.wav,45.687518,test,30.59,33.59,3,4.614586333333333,0.19699034646618363
drummer1,drummer1/eval_session,drummer1/eval_session/6,hiphop/groove6,hiphop,87,1,4-4,drummer1/eval_session/6_hiphop-groove6_87_beat_4-4.mid,drummer1/eval_session/6_hiphop-groove6_87_beat_4-4.wav,44.119242,test,10.906,13.906,7,0.35320700000000027,0.4759827922700939
drummer1,drummer1/eval_session,drummer1/eval_session/7,pop/groove7,pop,138,1,4-4,drummer1/eval_session/7_pop-groove7_138_beat_4-4.mid,drummer1/eval_session/7_pop-groove7_138_beat_4-4.wav,27.706547,test,6.057,9.057,4,0.6177578333333331,0.4331106290509604
drummer1,drummer1/eval_session,drummer1/eval_session/8,rock/groove8,rock,65,1,4-4,drummer1/eval_session/8_rock-groove8_65_beat_4-4.mid,drummer1/eval_session/8_rock-groove8_65_beat_4-4.wav,59.067313,test,45.559,48.559,1,8.844552166666666,0.05078951195900853
drummer1,drummer1/eval_session,drummer1/eval_session/9,soul/groove9,funk,105,1,4-4,drummer1/eval_session/9_soul-groove9_105_beat_4-4.mid,drummer1/eval_session/9_soul-groove9_105_beat_4-4.wav,36.540504,test,16.713,19.713,3,3.090084,0.24630202144995045
drummer1,drummer1/session1,drummer1/session1/1,funk,funk,80,1,4-4,drummer1/session1/1_funk_80_beat_4-4.mid,drummer1/session1/1_funk_80_beat_4-4.wav,86.704688,train,34.81,37.81,3,11.450781333333333,0.10380061571757226
drummer1,drummer1/session1,drummer1/session1/100,neworleans/secondline,funk,94,1,4-4,drummer1/session1/100_neworleans-secondline_94_beat_4-4.mid,drummer1/session1/100_neworleans-secondline_94_beat_4-4.wav,135.365719,train,96.33,99.33,3,19.560953166666668,0.0664865526256319
drummer1,drummer1/session1,drummer1/session1/101,dance/disco,pop,120,1,4-4,drummer1/session1/101_dance-disco_120_beat_4-4.mid,drummer1/session1/101_dance-disco_120_beat_4-4.wav,207.572917,train,197.055,200.055,24,10.595486166666667,0.3468660605660805
drummer1,drummer1/session1,drummer1/session1/102,funk,funk,95,1,4-4,drummer1/session1/102_funk_95_beat_4-4.mid,drummer1/session1/102_funk_95_beat_4-4.wav,224.807558,train,68.656,71.656,3,34.46792633333333,0.04003424119753127
drummer1,drummer1/session1,drummer1/session1/126,funk/fast,funk,125,1,4-4,drummer1/session1/126_funk-fast_125_beat_4-4.mid,drummer1/session1/126_funk-fast_125_beat_4-4.wav,137.38,validation,94.612,97.612,2,20.896666666666665,0.04367447954578541
drummer1,drummer1/session1,drummer1/session1/145,latin/brazilian/baiao,latin,95,1,4-4,drummer1/session1/145_latin-brazilian-baiao_95_beat_4-4.mid,drummer1/session1/145_latin-brazilian-baiao_95_beat_4-4.wav,30.060481,validation,14.054,17.054000000000002,4,1.0100801666666666,0.3991952091518429
drummer1,drummer1/session1,drummer1/session1/146,latin/brazilian/baiao,latin,95,1,4-4,drummer1/session1/146_latin-brazilian-baiao_95_beat_4-4.mid,drummer1/session1/146_latin-brazilian-baiao_95_beat_4-4.wav,214.624678,train,154.774,157.774,4,31.770779666666662,0.055911557383909044
drummer1,drummer1/session1,drummer1/session1/176,afrocuban,latin,105,1,4-4,drummer1/session1/176_afrocuban_105_beat_4-4.mid,drummer1/session1/176_afrocuban_105_beat_4-4.wav,223.750967,train,220.677,223.677,4,33.291827833333336,0.053631053134174836
drummer1,drummer1/session1,drummer1/session1/183,afrocuban,latin,105,1,4-4,drummer1/session1/183_afrocuban_105_beat_4-4.mid,drummer1/session1/183_afrocuban_105_beat_4-4.wav,134.383199,train,27.115,30.115,3,19.39719983333333,0.06697265779481854
drummer1,drummer1/session1,drummer1/session1/184,reggae,latin,78,1,4-4,drummer1/session1/184_reggae_78_beat_4-4.mid,drummer1/session1/184_reggae_78_beat_4-4.wav,114.703411,train,84.067,87.067,3,16.117235166666667,0.07846322896186583
drummer1,drummer1/session1,drummer1/session1/2,funk,funk,80,1,4-4,drummer1/session1/2_funk_80_beat_4-4.mid,drummer1/session1/2_funk_80_beat_4-4.wav,86.914062,validation,39.317,42.317,3,11.485677,0.10355056239345942
drummer1,drummer1/session1,drummer1/session1/201,reggae/slow,latin,64,1,4-4,drummer1/session1/201_reggae-slow_64_beat_4-4.mid,drummer1/session1/201_reggae-slow_64_beat_4-4.wav,112.148438,train,77.39,80.39,4,14.691406333333333,0.10700104445502844
drummer1,drummer1/session1,drummer1/session1/202,rock/halftime,rock,140,1,4-4,drummer1/session1/202_rock-halftime_140_beat_4-4.mid,drummer1/session1/202_rock-halftime_140_beat_4-4.wav,216.645319,train,186.279,189.279,1,35.10755316666667,0.013847518210167283
drummer1,drummer1/session1,drummer1/session1/239,funk/purdieshuffle,funk,130,1,4-4,drummer1/session1/239_funk-purdieshuffle_130_beat_4-4.mid,drummer1/session1/239_funk-purdieshuffle_130_beat_4-4.wav,193.791152,test,28.308,31.308,3,29.298525333333338,0.04644174879563129
drummer1,drummer1/session1,drummer1/session1/28,latin/samba,latin,116,1,4-4,drummer1/session1/28_latin-samba_116_beat_4-4.mid,drummer1/session1/28_latin-samba_116_beat_4-4.wav,225.453498,test,47.296,50.296,3,34.575583,0.0399195403036062
drummer1,drummer1/session1,drummer1/session1/3,funk,funk,80,1,4-4,drummer1/session1/3_funk_80_beat_4-4.mid,drummer1/session1/3_funk_80_beat_4-4.wav,122.851562,train,49.368,52.368,3,17.475260333333335,0.07325914179259682
drummer1,drummer1/session1,drummer1/session1/38,latin/samba,latin,116,1,4-4,drummer1/session1/38_latin-samba_116_beat_4-4.mid,drummer1/session1/38_latin-samba_116_beat_4-4.wav,57.745647,validation,3.202,6.202,3,6.6242745,0.15585590373591277
drummer1,drummer1/session1,drummer1/session1/4,jazz/funk,jazz,116,1,4-4,drummer1/session1/4_jazz-funk_116_beat_4-4.mid,drummer1/session1/4_jazz-funk_116_beat_4-4.wav,76.497789,test,25.683,28.683,5,7.7496315,0.19608409858747683
drummer1,drummer1/session1,drummer1/session1/47,jazz,jazz,102,1,4-4,drummer1/session1/47_jazz_102_beat_4-4.mid,drummer1/session1/47_jazz_102_beat_4-4.wav,183.415349,train,75.156,78.156,4,26.569224833333333,0.06542527692161686
drummer1,drummer1/session1,drummer1/session1/48,jazz,jazz,93,1,4-4,drummer1/session1/48_jazz_93_beat_4-4.mid,drummer1/session1/48_jazz_93_beat_4-4.wav,90.178723,train,10.826,13.826,5,10.029787166666667,0.1663363540865399
drummer1,drummer1/session1,drummer1/session1/49,jazz,jazz,125,1,4-4,drummer1/session1/49_jazz_125_beat_4-4.mid,drummer1/session1/49_jazz_125_beat_4-4.wav,115.155,train,83.388,86.388,4,15.192499999999999,0.10420737267161652
drummer1,drummer1/session1,drummer1/session1/5,jazz/funk,jazz,116,1,4-4,drummer1/session1/5_jazz-funk_116_beat_4-4.mid,drummer1/session1/5_jazz-funk_116_beat_4-4.wav,152.673379,train,114.173,117.173,5,20.44556316666667,0.09824895537289444
drummer1,drummer1/session1,drummer1/session1/50,jazz,jazz,125,1,4-4,drummer1/session1/50_jazz_125_beat_4-4.mid,drummer1/session1/50_jazz_125_beat_4-4.wav,117.06,train,44.518,47.518,4,15.510000000000002,0.10251153254741158
drummer1,drummer1/session1,drummer1/session1/51,rock/shuffle,rock,125,1,4-4,drummer1/session1/51_rock-shuffle_125_beat_4-4.mid,drummer1/session1/51_rock-shuffle_125_beat_4-4.wav,170.802,train,57.941,60.941,1,27.467,0.017564197140548705
drummer1,drummer1/session1,drummer1/session1/52,jazz,jazz,125,1,4-4,drummer1/session1/52_jazz_125_beat_4-4.mid,drummer1/session1/52_jazz_125_beat_4-4.wav,114.867,train,22.502,25.502,5,14.1445,0.13058580793439367
drummer1,drummer1/session1,drummer1/session1/75,jazz,jazz,125,1,4-4,drummer1/session1/75_jazz_125_beat_4-4.mid,drummer1/session1/75_jazz_125_beat_4-4.wav,61.404,train,24.927,27.927,5,5.234,0.24428376001563415
drummer1,drummer1/session1,drummer1/session1/76,jazz/mediumfast,jazz,180,1,4-4,drummer1/session1/76_jazz-mediumfast_180_beat_4-4.mid,drummer1/session1/76_jazz-mediumfast_180_beat_4-4.wav,7.31527,train,1.366,4.366,1,0.21921166666666658,0.41010106257185314
drummer1,drummer1/session1,drummer1/session1/77,jazz/mediumfast,jazz,180,1,4-4,drummer1/session1/77_jazz-mediumfast_180_beat_4-4.mid,drummer1/session1/77_jazz-mediumfast_180_beat_4-4.wav,148.320685,train,31.107,34.107,5,19.720114166666665,0.10113221901584395
drummer1,drummer1/session1,drummer1/session1/78,jazz/fast,jazz,290,1,4-4,drummer1/session1/78_jazz-fast_290_beat_4-4.mid,drummer1/session1/78_jazz-fast_290_beat_4-4.wav,105.048858,train,88.558,91.558,5,12.508143,0.14279070030442406
drummer1,drummer1/session1,drummer1/session1/79,latin/reggaeton,latin,90,1,4-4,drummer1/session1/79_latin-reggaeton_90_beat_4-4.mid,drummer1/session1/79_latin-reggaeton_90_beat_4-4.wav,87.784634,train,19.424,22.424,4,10.630772333333333,0.13669818342011883
drummer1,drummer1/session1,drummer1/session1/80,dance/breakbeat,hiphop,170,1,4-4,drummer1/session1/80_dance-breakbeat_170_beat_4-4.mid,drummer1/session1/80_dance-breakbeat_170_beat_4-4.wav,108.466858,train,4.27,7.27,9,9.077809666666667,0.24892396163996933
drummer1,drummer1/session1,drummer1/session1/81,dance/breakbeat,hiphop,170,1,4-4,drummer1/session1/81_dance-breakbeat_170_beat_4-4.mid,drummer1/session1/81_dance-breakbeat_170_beat_4-4.wav,56.392619,train,12.025,15.025,9,0.3987698333333345,0.47878606241004695
drummer1,drummer1/session1,drummer1/session1/82,neworleans/funk,funk,84,1,4-4,drummer1/session1/82_neworleans-funk_84_beat_4-4.mid,drummer1/session1/82_neworleans-funk_84_beat_4-4.wav,139.734979,train,2.656,5.656000000000001,1,-1.0,0.021469212801756673
drummer1,drummer1/session2,drummer1/session2/1,latin/chacarera,latin,157,1,3-4,drummer1/session2/1_latin-chacarera_157_beat_3-4.mid,drummer1/session2/1_latin-chacarera_157_beat_3-4.wav,147.945217,validation,125.437,128.437,4,20.65753616666667,0.08111110479495934
drummer1,drummer1/session2,drummer1/session2/10,country,pop,114,1,4-4,drummer1/session2/10_country_114_beat_4-4.mid,drummer1/session2/10_country_114_beat_4-4.wav,154.966071,train,128.253,131.253,24,1.827678500000001,0.46461783237699816
drummer1,drummer1/session2,drummer1/session2/110,rock/prog,rock,190,1,4-4,drummer1/session2/110_rock-prog_190_beat_4-4.mid,drummer1/session2/110_rock-prog_190_beat_4-4.wav,95.902488,test,29.657,32.657,1,14.983748,0.03128177446241019
