drummer,session,id,style,simplified_style,bpm,beat_type,time_signature,midi_filename,audio_filename,duration,split,start,end,times_sampled,possible_samples,oversampling_ratio,onset_env_mean,onset_env_std,mfcc_mean,mfcc_std,spectral_flux_mean,spectral_flux_std,spectral_contrast_mean,spectral_contrast_std,tonnetz_mean,tonnetz_std,rms_mean,rms_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_flatness_mean,spectral_flatness_std,tempogram_mean,tempogram_std,spectrum_filename
drummer1,drummer1/eval_session,drummer1/eval_session/1,funk/groove1,funk,138,1,4-4,drummer1/eval_session/1_funk-groove1_138_beat_4-4.mid,drummer1/eval_session/1_funk-groove1_138_beat_4-4.wav,27.872308,test,11.692,14.692,2,2.6453846666666667,0.2152674260057688,1.59495,2.9651492,0.48768649,0.87709236,-11.962068,62.692074,12.73102663080343,6.256968728642016,0.002350403695669545,0.047624975821508826,0.03422119,0.056157008,5608.665252447839,2501.480436618166,4647.65842650447,941.2635966707127,0.09043378,0.124045104,0.2945832359474542,0.17118295377689255,drummer1/eval_session/1_funk-groove1_138_beat_4-4_11.692-14.692.png
drummer1,drummer1/eval_session,drummer1/eval_session/10,soul/groove10,funk,102,1,4-4,drummer1/eval_session/10_soul-groove10_102_beat_4-4.mid,drummer1/eval_session/10_soul-groove10_102_beat_4-4.wav,37.691158,test,25.264,28.264,2,4.281859666666667,0.1591885290443981,1.4690403,3.9241524,0.4906201,0.8735961,-16.21252,69.41566,11.973381819426594,4.900319236070665,-0.005869958580353813,0.05530551629691987,0.03471786,0.062846124,7204.425220832438,3338.7472157036764,5212.773742418795,1194.914650145324,0.14818905,0.14311063,0.26785906585318836,0.23471285091691604,drummer1/eval_session/10_soul-groove10_102_beat_4-4_25.264-28.264.png
drummer1,drummer1/eval_session,drummer1/eval_session/2,funk/groove2,funk,105,1,4-4,drummer1/eval_session/2_funk-groove2_105_beat_4-4.mid,drummer1/eval_session/2_funk-groove2_105_beat_4-4.wav,36.351218,test,10.13,13.13,3,3.058536333333333,0.2475845513622129,1.7156683,3.4253616,0.6346387,0.98920965,-12.811591,69.83045,12.303780930064923,5.4431311514684415,-0.006176361835750179,0.044061768833884164,0.04220297,0.06155719,6172.809370496605,3874.975566052486,4711.894614965364,1483.3921239298425,0.116454065,0.1325161,0.238676313656841,0.1537924478777674,drummer1/eval_session/2_funk-groove2_105_beat_4-4_10.13-13.13.png
drummer1,drummer1/eval_session,drummer1/eval_session/3,soul/groove3,funk,86,1,4-4,drummer1/eval_session/3_soul-groove3_86_beat_4-4.mid,drummer1/eval_session/3_soul-groove3_86_beat_4-4.wav,44.716543,test,37.015,40.015,3,4.452757166666667,0.2012677947845834,1.2855878,2.97349,0.34973755,0.79319984,-16.194353,81.722786,11.884326986463844,4.778281843526248,0.004869136098555046,0.04942882906499157,0.024421176,0.053402055,5704.099293648044,3309.1007130642915,5098.568553375712,1251.2930053833134,0.10119091,0.12871669,0.1494438931436608,0.14429148630194885,drummer1/eval_session/3_soul-groove3_86_beat_4-4_37.015-40.015.png
drummer1,drummer1/eval_session,drummer1/eval_session/4,soul/groove4,funk,80,1,4-4,drummer1/eval_session/4_soul-groove4_80_beat_4-4.mid,drummer1/eval_session/4_soul-groove4_80_beat_4-4.wav,47.9875,test,18.449,21.449,2,5.997916666666666,0.1250325605626465,1.3299692,3.7541323,0.29869694,0.75107044,-19.570898,77.99402,12.172259083847665,4.800350727225144,0.0018510516008782838,0.0365287299861222,0.020340897,0.04668819,8042.372855306769,3504.921958244146,5396.953175639421,999.4429248783031,0.18127759,0.14977472,0.11537854673991632,0.12897977802335295,drummer1/eval_session/4_soul-groove4_80_beat_4-4_18.449-21.449.png
drummer1,drummer1/eval_session,drummer1/eval_session/5,funk/groove5,funk,84,1,4-4,drummer1/eval_session/5_funk-groove5_84_beat_4-4.mid,drummer1/eval_session/5_funk-groove5_84_beat_4-4.wav,45.687518,test,30.59,33.59,3,4.614586333333333,0.1969903464661836,1.6588186,3.5501242,0.33456662,0.75439435,-16.592981,82.809326,11.736409819336169,4.2143792273272975,-0.00035791783196358436,0.038886371570424925,0.022452993,0.04839088,7146.556424236591,3729.7828850494207,5508.546758935036,1007.8296034375111,0.15934563,0.16225205,0.19052647770845146,0.16873163492477045,drummer1/eval_session/5_funk-groove5_84_beat_4-4_30.59-33.59.png
drummer1,drummer1/eval_session,drummer1/eval_session/6,hiphop/groove6,hiphop,87,1,4-4,drummer1/eval_session/6_hiphop-groove6_87_beat_4-4.mid,drummer1/eval_session/6_hiphop-groove6_87_beat_4-4.wav,44.119242,test,10.906,13.906,7,0.3532070000000002,0.4759827922700939,1.5305872,3.7586222,0.538933,0.9364865,-12.911687,72.70767,11.924077517169787,4.437137025127009,0.0024934806002411287,0.02577657173375947,0.03688827,0.06263295,6702.610012846608,4085.6489705931226,5554.096491338964,1226.271781518541,0.11589007,0.14525518,0.17851938564453484,0.18492016511025042,drummer1/eval_session/6_hiphop-groove6_87_beat_4-4_10.906-13.906.png
drummer1,drummer1/eval_session,drummer1/eval_session/7,pop/groove7,pop,138,1,4-4,drummer1/eval_session/7_pop-groove7_138_beat_4-4.mid,drummer1/eval_session/7_pop-groove7_138_beat_4-4.wav,27.706547,test,6.057,9.057,4,0.6177578333333331,0.4331106290509604,1.3007009,3.829179,0.52056885,1.1195463,-13.77252,73.96816,11.910280993643429,4.6994505542663765,0.0049608869929191465,0.023343161542786893,0.03594148,0.07516661,6673.002256563041,2801.6679633877284,5697.052549057706,994.9622587690567,0.09471367,0.116321154,0.14163260995255214,0.18347068566432306,drummer1/eval_session/7_pop-groove7_138_beat_4-4_6.057-9.057.png
drummer1,drummer1/eval_session,drummer1/eval_session/8,rock/groove8,rock,65,1,4-4,drummer1/eval_session/8_rock-groove8_65_beat_4-4.mid,drummer1/eval_session/8_rock-groove8_65_beat_4-4.wav,59.067313,test,45.559,48.559,1,8.844552166666666,0.0507895119590085,1.1751938,3.9519958,0.28786355,0.65519357,-20.77674,83.8519,12.725337806370144,5.245639887707768,0.006387197013745326,0.05271735170352312,0.019054377,0.042024672,7228.977843499613,3699.864975135478,5237.782392132089,1175.5154066595273,0.1275724,0.13340358,0.08942147823251291,0.14161843145268127,drummer1/eval_session/8_rock-groove8_65_beat_4-4_45.559-48.559.png
drummer1,drummer1/eval_session,drummer1/eval_session/9,soul/groove9,funk,105,1,4-4,drummer1/eval_session/9_soul-groove9_105_beat_4-4.mid,drummer1/eval_session/9_soul-groove9_105_beat_4-4.wav,36.540504,test,16.713,19.713,3,3.090084,0.2463020214499504,1.2850993,3.5077155,0.30036056,0.7054199,-19.786213,79.46452,12.645040569754341,5.718070553371015,-0.005024305377363697,0.049893722597266495,0.020391447,0.040740762,5778.751084208069,3202.2846506533147,4696.066699771159,1079.7629188594549,0.10725974,0.14020306,0.1469269468946084,0.1689918914202087,drummer1/eval_session/9_soul-groove9_105_beat_4-4_16.713-19.713.png
